"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","C0805","5.2mm","23.0mm","5.2mm","23.0mm","5.2mm","23.0mm","T","270.0","1uF"
"C2","C0805","6.8mm","28.0mm","6.8mm","28.0mm","6.8mm","28.0mm","T","90.0","100nF"
"C3","C0805","4.6mm","28.4mm","4.6mm","28.4mm","4.6mm","28.4mm","T","90.0","10uF"
"C4","C0805","11.0mm","5.2mm","11.0mm","5.2mm","11.0mm","5.2mm","T","0.0","10uF"
"C5","C0805","5.0mm","10.0mm","5.0mm","10.0mm","5.0mm","10.0mm","T","180.0","22uF"
"C6","C0805","5.0mm","12.2mm","5.0mm","12.2mm","5.0mm","12.2mm","T","180.0","22uF"
"C7","C0805","5.0mm","38.0mm","5.0mm","38.0mm","5.0mm","38.0mm","T","270.0","1uF"
"C8","C0805","10.0mm","44.0mm","10.0mm","44.0mm","10.0mm","44.0mm","T","90.0","1uF"
"C9","C0805","33.0mm","45.0mm","33.0mm","45.0mm","33.0mm","45.0mm","T","270.0","100nF"
"C10","C0805","30.7mm","45.0mm","30.7mm","45.0mm","30.7mm","45.0mm","T","270.0","10uF"
"L1","IND_74438357010_WRE","11.8mm","8.6mm","11.8mm","8.6mm","11.8mm","8.6mm","T","270.0","74438357010"
"Q1","DFN2020-6L_MCE","19.6mm","37.6mm","19.6mm","37.6mm","19.6mm","37.6mm","T","0.0","MCM3400A-TP"
"R1","R0805","3.0mm","24.4mm","3.0mm","24.4mm","3.0mm","24.4mm","T","90.0","10k"
"R2","R0805","32.0mm","23.9mm","32.0mm","23.9mm","32.0mm","23.9mm","T","180.0","10k"
"R3","R0805","3.6mm","18.0mm","3.6mm","18.0mm","3.6mm","18.0mm","T","180.0","10k"
"R4","R0805","6.0mm","3.0mm","6.0mm","3.0mm","6.0mm","3.0mm","T","0.0","1M"
"R5","R0805","10.0mm","3.0mm","10.0mm","3.0mm","10.0mm","3.0mm","T","180.0","220k"
"R6","R0805","14.4mm","42.4mm","14.4mm","42.4mm","14.4mm","42.4mm","T","0.0","10k"
"R7","R0805","16.2mm","40.3mm","16.2mm","40.3mm","16.2mm","40.3mm","T","0.0","10k"
"R8","R0805","32.0mm","17.7mm","32.0mm","17.7mm","32.0mm","17.7mm","T","180.0","10k"
"R9","R0805","32.0mm","20.8mm","32.0mm","20.8mm","32.0mm","20.8mm","T","180.0","10k"
"R10","R0805","23.0mm","47.0mm","23.0mm","47.0mm","23.0mm","47.0mm","T","0.0","47k"
"R11","R0805","22.0mm","43.9mm","22.0mm","43.9mm","22.0mm","43.9mm","T","90.0","1k"
"U1","MODULE_ESP32-C3-WROOM-02-H4","17.9mm","24.2mm","17.9mm","24.2mm","17.9mm","24.2mm","T","0.0","ESP32-C3-WROOM-02-N4"
"U2","DRL0006A","8.0mm","8.0mm","8.0mm","8.0mm","8.0mm","8.0mm","T","90.0","TPS61023DRLR"
"U3","LGA12_STM","17.4mm","46.4mm","17.4mm","46.4mm","17.4mm","46.4mm","T","90.0","VL53L1CXV0FY/1"
"U4","MF05A","8.6mm","40.0mm","8.6mm","40.0mm","8.6mm","40.0mm","T","0.0","LP3985IM5X-2.8/NOPB"
"U5","LGA-12_STM","27.4mm","40.6mm","27.4mm","40.6mm","27.4mm","40.6mm","T","270.0","LIS2DE12TR"
